State,Year,CrimeIndexRatio,CrimeIndex,Population
Malaysia,2015,370.50,115544,31186100
Malaysia,2016,355.17,112354,31633500
Malaysia,2017,309.68,99169,32022600
Malaysia,2018,273.80,88662,32382300
Malaysia,2019,256.61,83456,32523000
Johor,2015,373.38,13480,3610300
Johor,2016,354.37,12941,3651800
Johor,2017,305.84,11307,3697000
Johor,2018,275.72,10338,3749400
Johor,2019,262.42,9870,3761200
Kedah,2015,372.86,7817,2096500
Kedah,2016,350.99,7440,2119700
Kedah,2017,315.27,6759,2143900
Kedah,2018,287.61,6221,2163000
Kedah,2019,258.32,5615,2173700
Kelantan,2015,285.75,5031,1760600
Kelantan,2016,253.13,4548,1796700
Kelantan,2017,247.13,4520,1829000
Kelantan,2018,214.30,3987,1860500
Kelantan,2019,188.18,3545,1883800
Melaka,2015,331.61,2948,889000
Melaka,2016,406.61,3664,901100
Melaka,2017,339.17,3097,913100
Melaka,2018,303.56,2800,922400
Melaka,2019,275.85,2561,928400
Negeri Sembilan,2015,439.66,4787,1088800
Negeri Sembilan,2016,406.99,4474,1099300
Negeri Sembilan,2017,356.64,3973,1114000
Negeri Sembilan,2018,327.10,3673,1122900
Negeri Sembilan,2019,295.42,3327,1126200
Pahang,2015,264.76,4257,1607900
Pahang,2016,232.19,3777,1626700
Pahang,2017,219.00,3607,1647000
Pahang,2018,215.29,3584,1664700
Pahang,2019,195.70,3271,1671400
Perak,2015,252.46,6228,2466900
Perak,2016,235.32,5841,2482100
Perak,2017,213.62,5326,2493200
Perak,2018,204.83,5128,2503500
Perak,2019,195.79,4912,2508800
Perlis,2015,298.19,741,248500
Perlis,2016,260.96,655,251000
Perlis,2017,239.68,604,252000
Perlis,2018,222.09,563,253500
Perlis,2019,207.48,527,254000
Pulau Pinang,2015,394.38,6697,1698100
Pulau Pinang,2016,356.06,6116,1717700
Pulau Pinang,2017,318.27,5551,1744100
Pulau Pinang,2018,284.60,5017,1762800
Pulau Pinang,2019,295.00,5218,1768800
Sabah,2015,135.65,5176,3815600
Sabah,2016,137.63,5367,3899600
Sabah,2017,157.73,6236,3953500
Sabah,2018,153.88,6151,3997400
Sabah,2019,143.49,5745,4003700
Sarawak,2015,267.63,7230,2701500
Sarawak,2016,249.24,6826,2738700
Sarawak,2017,230.67,6381,2766300
Sarawak,2018,208.83,5830,2791700
Sarawak,2019,214.65,6023,2806000
Selangor,2015,526.82,32547,6178000
Selangor,2016,496.26,31222,6291500
Selangor,2017,408.56,26069,6380700
Selangor,2018,330.81,21420,6475000
Selangor,2019,304.33,19800,6506100
Terengganu,2015,229.03,2659,1161000
Terengganu,2016,210.75,2494,1183400
Terengganu,2017,186.84,2257,1208000
Terengganu,2018,148.42,1823,1228300
Terengganu,2019,150.26,1870,1244500
W.P. Kuala Lumpur,2015,855.75,15946,1863400
W.P. Kuala Lumpur,2016,906.52,16989,1874100
W.P. Kuala Lumpur,2017,716.86,13482,1880700
W.P. Kuala Lumpur,2018,642.59,12127,1887200
W.P. Kuala Lumpur,2019,592.30,11172,1886200